NU_INSCRICAO,NU_NOTA_MT
ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,434.95399999999853
2c3acac4b33ec2b195d77e7c04a2d75727fad723,467.0853333333341
f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,0.0
3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,0.0
bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,0.0
a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,419.2893333333332
63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,515.3726666666669
2eb189d4912f64b19d1967e8e84b6141aba18770,603.8226666666685
5822cb43e0800429be2084b3f86a63aaa73fa66c,406.50666666666524
94f7e277f87cd58e10a45da4ad5dd168651cf3ef,0.0
3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8,428.3286666666684
6f721ecb245bd74eaeda78b8d8135e8adeba6dc0,408.6836666666652
70b1dacb515d1aecead8a53cb465a70fda4b62b6,465.55566666666596
8570b9be0b2b629d00743d0de77cd95a84a46fbc,0.0
67a173ad63a2a3f77c8905b49e83084b7c1cd6b0,461.29566666666494
4e17008781ab3d721804ffe992884f86c37dcb4c,0.0
6118b53a6c928609d5ec78f7b6ae463ee3f766e3,522.3346666666645
036bce628d802e0da1fc727057dd40e979a03ac3,417.5139999999989
e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba,462.7763333333344
fa8d39d295f07f351cbff175dcfe01a4cbb49ca3,0.0
bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b,511.62633333333343
5458db66588b99384d711f24a5e77d2befb2bec9,0.0
f2dda998a10d8f259dec0018a0a0aefafb66dcf7,0.0
fe981a60436f1d9e533a28c67dd66c72290ce7c7,0.0
f08085c95978cded4e8009e734772d2889c6ab1d,0.0
2600ee9cbb63e8dc65423f18d2f33c8ad198edfe,476.1490000000008
75182e8460c3cae7808fbe4c3475c15e232327dd,0.0
9f1f0f639f56faed5cdb4db727692f9a49f7818b,433.43600000000134
45837167deb9a4e1969d5d9bdb31e8bfe7c94017,403.4426666666677
e1268d2857278d8ec8055524bc29cc16b5c4174f,468.11533333333415
b6b8661c6a0867a13e83b584a0468d5e05804128,507.4276666666646
3982766156703660bd7c9662b663d250a68f2734,418.19133333333343
b82b9c8e6d995692aedfad5a31c0c14cfcf108f1,426.7489999999998
3b096a7385fbcd24adb5e622db6ec33ad81b711c,436.5660000000013
ab01ff1e35bb088cda3ccb34ee11e718cf49961c,479.82033333333334
91720b5fe48f70c5f4b21231f265badbb7965923,520.5903333333348
3f910c1717d215698a89b7774fae6aae9ce80a9b,411.6366666666653
51e2e191d63c9ce01f2474dfef6867d39bde0e22,0.0
160449496c59d74d6efaed45b00fd1802d7b8fe0,470.9176666666667
5c90f15a173eb63ffaff1dda01bb41959cea8ade,435.336333333332
642546ecc2ac60f7533a50e51b3ced50d438fa2a,407.82266666666567
bcca1cc0d5b3005d943cd206eb899d1b0470d118,520.8559999999983
80657dbe741b33c3b8aa6627ff05d721fc473535,421.60099999999903
c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3,559.4166666666689
ce018e1ed8c91f329f952c59abec1059d15544fc,561.1796666666672
15fb3ba785590aea2be363ee1b189f1e0c38d168,438.8863333333347
36c49582ac87ab0169f57407a7030d012e19db0f,458.21166666666664
272b3de95fdc0983aa22bd9cffa178a3a362ae43,500.8746666666682
0a90fb44346e04615bc4879b2769751e65740f7e,374.697666666668
45baf0018e09111593b980febba5122c6045203b,373.7816666666656
1495c703543bb33d4b2a3a38075e9102541d872d,444.4926666666676
31640380bd530bb03092038113931fe88235552d,0.0
99b9a595ef66afd906ff6cc1924b8aec91d569ac,555.0303333333327
89b718d7a23461843c46a4e7e3b44bda0b0152bf,456.19933333333483
2811fcc8205f513d44f523a753e74e6cc593a4f9,659.3873333333333
777bd9bcb30c7af5ee67f98072e572a304ad0042,0.0
9061a9d12293f7a706455370a3c7db1093a86775,407.512666666668
74106591d629e3d8bae3a811a6340f7e31f56ff0,396.4903333333322
2c28ebcabc43052f3029141fa6bec9bdef65dae6,462.3366666666666
ccb11e219efb77f2d1f773e490e18204b743c531,0.0
b7c29a61f67a7b11a811dd41db7f6cc18cee1082,673.1709999999982
546520198f2a8f443f61687181896c7a91614265,436.59266666666525
00fad6ffd37a5fcd02b67623b5141406caf0ffc0,425.54466666666787
3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00,480.5803333333337
79596e863089f8b7f26b24ea161920750fb9ad98,0.0
42c347cc2d5a972008ab3fef158bec426fc32d22,406.27100000000127
1184e759ab3abac459311e19e2d4f1773bf1bd41,431.04299999999864
f102d2cce60240d7c8cc8dcd7e819b81ed724c14,0.0
d11f15d217391ddc98d0007cabc4c21f9438b55b,393.60866666666783
75863688688db57afb85d45f3a0f8359b4a3f256,414.05900000000145
84d341e1ac9c010aa58f782766258ef3f097a6b7,478.2203333333338
c0971b9328ab9ffaf2054856c98080d6070541ae,423.03533333333473
a10aff56c82f1bcb0a43c0aca5061901f21a4dac,494.89100000000025
a6905d20876982ff0006a442533a58cbb39da4c5,552.6669999999982
48e9256e4da87667fae37924792e56e197a4dd88,494.3256666666672
ad810c209e89e9b5e2080eefead70a0f0027c30c,417.5930000000013
b77d99ff8ee7781a40175b2e1e4dc011e63f1920,371.2246666666679
231c9a3c08249643f87ed59301e84e7605b2176f,419.04499999999996
dcdfc953208fe59ec5bd9288d5be4fa3300deb89,0.0
4e1c0573b418b839469dab13754968982db53a10,0.0
129d6daf0892c79c68c98ea20f8197645b21b221,474.1970000000007
626eabd333cba14cb6c0c17b13cc2ab36f9070b4,0.0
d1aba323399aba7434327ab725bbc2d5682316bf,380.7363333333346
6ce27caca885b1a612477f606ac8d4e98b90d8e5,0.0
272ee225651d10cf558d114ce37c5189da942a62,438.7323333333334
4d288c96983da75bb8c3983063becbdb867ace89,480.0563333333337
247c20a9befc204fb261300c33ea0cef3f1d0b7d,493.14733333333385
67a6a095cbc03868169ce24cd9f956d3b7d4d7de,0.0
6169fb11c0c3d6cc7b51edc48b068f948389c40b,405.3706666666653
4ee9f9a4b868e701463ca030c0659e2e7935ffcf,0.0
bad54913c91cb3f2993dea3652a90be28570a247,373.7243333333345
473fac1a473fc1acbb11e9602f39b135a3c9d9aa,434.4199999999986
28d46528baddeda8c5c1951536a238d791cfa9f8,424.6083333333331
6aea69cd043e47f99f5dc98264805ab85f0b6231,435.3419999999998
9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd,423.35933333333463
208e05b2a1bb30f66d509e5f53a8e126fecf8d6a,435.98166666666646
f02d83027c206dc62f6051b098fe57514a512648,627.8446666666661
1a2b323760650526e617eee8e9b74f5accc8677f,510.3323333333326
b385375f93bf3c8cd9c1c99d0f136b1d718aafaa,473.80600000000084
da368ccf70b742a39fdaed13826c429a393b9b67,0.0
f46312530d2396d3e19b4f871c08c69af169e61e,430.0423333333322
e57382b06163599199c713cc1547c331bba1a3c5,0.0
db3d90f89c29a36e60a2fa1f8312dff684a8c7ca,405.9149999999986
6cf3b5ed0cc238c2187d949eb1b4448e980e3da8,447.19799999999987
df1637272672a237c36430a25a3167cb50a28bbb,0.0
a7f39916fea1e145dfede35799c94998938c7b50,400.1216666666677
ec425f49307805a69a22c5e48a6f7b2375375b61,422.699666666668
9dde22272c72904e4d722d23b2c0f98c59820691,532.1080000000001
61a7418ba4149a3d35cf82235c6d775a4167becb,423.2610000000013
693e5ddade1cea23d6f3bf9c19be79aa07c458a0,411.68366666666526
5d409df3b610ca98c29f339a2b9e48965f7dcdd1,482.5506666666652
6698841b20a8b8109a62ad87c39b775f9587acd0,0.0
5f7acabd799a730469eac13ddb8e05a0d8a84572,0.0
a396d9225f5b48b7177827c0f09fc5285674599e,0.0
9f3154f46424b7847fcc22640b8de69c4db14ddc,659.6076666666683
f0877a18e15982d733e9aeca82bbcb2a161917e8,435.81166666666815
aa16a27c710933541bedd77943eab6beb6218728,528.915000000002
9ff200dba2915df2a66ef68e2705e8aa0d17ad24,522.1886666666668
f17bbe8db9aa99451eeac1f52d580a35999d720e,379.34666666666806
648f9db6808006abd9065a693ab8a8a512551892,0.0
8fef04607c9db1028c9a958e49f3afb2e980c8e0,0.0
dd0c57d54e154ae5c01ea4174f4dfe4990ffda07,516.9843333333334
5c6dc7f8539bcc91ea9bbf131aac5bcd06292b85,0.0
e61f329517670fdd3f308258e43c37fc12642e69,521.6866666666665
edb8ce295c9abc8a873f4424d995784b6ff58b0b,435.44333333333475
0c5e5107e61c051809c72a731f646ec08b424b93,428.93900000000156
96e3f5d68c22f8e62852f1123856410d8f8e8e95,0.0
2d3a37f2bafb703f74c57baf12d164e48a36e8ad,0.0
e1511a8e927cc21c5b23587d397789491d1ad916,398.59799999999865
92282a1d27d299c7bfc377a814e7bd78c0ef3d32,511.6133333333331
062e3b1fa078e4925a3d4a459bfe966e8a9c768a,0.0
1e8cf6295d7a2c1f1f7a8e654e7d0bb9942e20cb,445.1143333333321
fb434bfad5c0db89bec493ee50c939fdb02d2f6e,446.74500000000154
7bec1e065095abd13da928acd485ab71e5eabcfb,441.8540000000017
a1619705b57c0be2f9408d4d1fc1db1f065ce13e,447.68000000000137
bd9c2b0dbe1916a675895666caf69e0df9dd7b22,701.1253333333356
251e83c18a0d45019ffefab5461664ce84fbc4fb,0.0
fce4c239420841dddad81c7b85712e1fd6fcd024,0.0
d5133b425c6fbeba4173f47f18e6412666646ddd,482.5579999999997
861e1d13ac4ee778ad76ff33a93f399004221278,580.1173333333336
b2e643a538180ab8bc1868a96a22d48d80c080dd,424.88433333333495
1b569248445c52edb114e326e66110018229b00d,404.4703333333333
53f72aae18be71e50123aede98c2286902d40ef5,436.88533333333226
f4312979d3a9245a11686e74552a2f235425c8ed,578.2890000000023
b4a0df58cade1c3467b12052df84b1f64d6aa605,429.39699999999874
8144886bbb1baf3730b177ac63e36f654716e8a4,0.0
a5c056dd012783bc35e17f7687aaaec2c56f2dd0,0.0
e3f149e277ebf61924972fe87fa4ee816950f493,417.11433333333207
e9ee228cf82265126b0a218a6ad0d4515f9e3576,0.0
a5f4a62d6ed268da4ae565effbde9e65278253cb,693.7523333333353
66bdd2f12b50c2fcf0f3813350b0fc0040b1af9e,0.0
d0573631ad8f7665d389f30949fa604a1c17185c,465.0343333333327
acd871097b033a83ee458aaee2c66d5bc395027e,431.42166666666844
47711503c2d6694a7e37ad8ac91f7d3df30d7dec,0.0
056f5b129ee281a862945f4d05e57d909c84de44,442.6293333333344
b0d94e0a86684b316989083d8e581d064413fe59,516.5259999999996
893b891eb70050641ff46e20d9cd7412a74154cd,0.0
8bfbb04267b3a22be2aa4c532561ef0ade2c63f8,626.2213333333334
ff42818829a5fdb786e58b4a8799183c97cd005e,452.21666666666783
0d82ebb403cc907b042ba68583db34cf91381eac,436.22666666666527
a90dcc63e4edaf1a6bfefc1e75989fab0440d3ce,379.4523333333346
85e31040cf18996a726aee2d2a01578d6ef5f1cd,0.0
6d1b4e3811f2f5a30453c844ae4bdcb65deb8e4e,447.79366666666573
346b0c0a61fea016a8126f0e5e8939eb3232ba1e,432.5313333333347
87d0b611ce5547590bcae08369197339ad32afc5,430.9893333333317
7d7b7990763af03f52a68e30ca6f11b8d7c2ce05,488.82866666666706
a4597468a677a40f5f065610aa28fcc2c3838ebd,453.9443333333335
125c45ac026f83535195ece61d2fcbd7d7aaaae0,505.4900000000001
369caf36ae09bab2f650ee73f4e2f5ca4b51500a,0.0
59dbe08f54be241885399789426c1fbcb6ed0867,466.8546666666649
6e8a48f942f8c2cc1f05482c16d28a31d987c5a0,450.43300000000136
dc9f3909aa84b1271eb1dc6dec088b9bfbf75587,435.26433333333205
5fad4c8c56dfdf6e7800a3ba5eae6de2bd459b67,506.93800000000203
58033f875506d9f62ff23032e495cb75a2daf257,0.0
eb10fc96135fd7cd1d7c876451a062bde07051ae,560.6503333333336
ce187976d244a123743fb09b950cf49b12b2b679,432.42499999999905
e482d33b95a968e47e8a52f73def5b7a98ce7d9a,0.0
f60f16f31f37449eb3b002aac4db0fbde2d2b33a,449.5813333333344
3470b3bb5604291e07897afb918534cd5d386364,444.30999999999835
67b08e14867ede6e7fe33926ceb9161f7e0c66ae,513.9689999999999
9bb4a12e59f092a266e1af079746049299fdae88,0.0
b6c3bebd9592aeb68454400d66770c1dc36b617f,0.0
08818ae315fbb1a1c9c50a007d872cb72278463e,535.0256666666663
a40af8a0f8734b5be92ba7f16dd72f3ddbc05c7b,453.77033333333424
44655faaf1acb01e9fc70ad6b77ad0239c5fef56,386.3480000000013
95451722fb1b782909b3df3ffc703a88fb12b313,411.96566666666814
63dc1b437d96b6a146d210aa8f972b832410e224,577.0016666666658
67496ec5a22717043ce613cce28c2d5b02be2ef7,469.727333333335
0b0b7a416cc00e5a031c9bdda7719527ce357d61,409.9443333333346
4071da9a69ce04ef14cdb5d0b9e840480c932f65,471.38566666666475
fb77ea2ffa52dc5de58eec2ebc3918f490ee2504,580.9746666666645
6e08cac7305ff64156eeaa72b68942d09ff93082,388.6456666666664
910791ec7430d6c0dc5d458a3ee45d039f4d8df5,395.3166666666657
6463d23951a4a7b6649ef55fb009620e28d40add,478.8296666666672
5359abb5e689d8cf4309fb4fa9a53eace6c3af7d,0.0
39defe35bd14c3553f6328660944e33b0ed63bfb,389.8196666666679
ba06b50e2e3ca0c04af62bd7f270f625d66bf99e,0.0
49a2f83a9a5a13127f13f8a36e3670d522ea12e0,676.567666666664
c766dba145ea799e135e91fbfbd0d6bbbc9efb2f,478.44033333333294
b788a1168ae30ef2e7f47b81bd2e09ff2a4772a9,403.92400000000146
